StudentID,Name,Math,Science,English,History
2,Student2,92,43,96,26
3,Student3,71,7,13,75
4,Student4,11,22,18,35
5,Student5,79,43,11,82
6,Student6,56,8,6,86
7,Student7,93,54,15,71
8,Student8,11,45,60,76
9,Student9,76,49,41,24
10,Student10,48,36,50,75
11,Student11,0,19,49,11
12,Student12,41,23,3,77
13,Student13,22,14,58,79
14,Student14,79,64,20,72
15,Student15,18,93,99,29
16,Student16,94,14,61,70
17,Student17,19,58,50,67
18,Student18,51,56,42,51
19,Student19,75,47,18,73
20,Student20,27,21,49,49
21,Student21,92,6,27,71
22,Student22,27,4,99,1
23,Student23,97,53,87,90
24,Student24,68,47,15,87
25,Student25,61,21,10,11
26,Student26,77,8,62,8
27,Student27,55,81,81,82
28,Student28,58,86,31,50
29,Student29,48,14,20,31
30,Student30,18,75,32,71
31,Student31,27,75,61,95
32,Student32,78,32,38,39
33,Student33,54,48,50,87
34,Student34,56,12,95,67
35,Student35,49,31,5,6
36,Student36,16,36,56,21
37,Student37,6,32,52,25
38,Student38,6,41,96,91
39,Student39,15,12,41,94
40,Student40,45,79,32,55
41,Student41,83,38,41,95
42,Student42,6,36,18,55
43,Student43,67,23,18,40
44,Student44,15,74,17,21
45,Student45,63,69,2,25
46,Student46,66,55,15,82
47,Student47,67,57,31,68
48,Student48,35,19,22,75
49,Student49,57,64,69,64
50,Student50,56,43,18,79
51,Student51,66,93,75,81
52,Student52,23,92,2,86
53,Student53,17,4,10,83
54,Student54,15,26,20,83
55,Student55,39,51,6,74
56,Student56,70,86,4,27
57,Student57,5,30,47,61
58,Student58,73,21,96,39
59,Student59,14,71,76,37
60,Student60,18,78,79,35
61,Student61,39,89,75,54
62,Student62,71,95,93,9
63,Student63,2,56,40,72
64,Student64,41,0,55,46
65,Student65,30,1,63,3
66,Student66,80,58,99,94
67,Student67,28,74,87,47
68,Student68,8,65,38,47
69,Student69,9,12,57,81
70,Student70,64,6,46,66
71,Student71,62,42,94,2
72,Student72,43,49,48,73
73,Student73,6,10,32,86
74,Student74,68,30,35,53
75,Student75,61,21,56,69
76,Student76,42,94,72,52
77,Student77,63,85,89,83
78,Student78,91,34,48,52
79,Student79,33,98,54,76
80,Student80,46,58,4,9
81,Student81,24,37,51,93
82,Student82,23,87,1,40
83,Student83,64,57,8,6
84,Student84,6,36,58,25
85,Student85,21,46,7,68
86,Student86,36,11,20,69
87,Student87,9,30,44,11
88,Student88,89,5,77,69
89,Student89,42,28,61,21
90,Student90,71,18,62,34
91,Student91,31,26,40,38
92,Student92,19,98,63,97
93,Student93,100,27,64,36
94,Student94,95,40,4,60
95,Student95,71,5,28,15
96,Student96,67,4,84,8
97,Student97,32,1,86,59
98,Student98,19,3,94,7
99,Student99,87,33,45,5
100,Student100,31,64,58,30
